,BT-549,CAL-148,CAL-51,HCC1937,Hs-578T,MDA-MB-231,MDA-MB-436,MDA-MB-468,CAL-120,CAL-85-1,DU-4475,HCC1143,HDQ-P1,MFM-223,BT-20,HCC-1187,HCC-1395,HCC-1806,HCC-38,HCC-70
CHEMBL81,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.1,0.6,0.0,0.0
CHEMBL235191,0.0,1.4,9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9,0.0,0.0,0.0,0.0
CHEMBL1078178,0.0,9.7,4.8,0.0,0.0,1.4,1.6,2.6,0.0,4.3,3.7,0.0,0.0,1.2,0.0,2.0,2.6,0.0,2.0,0.0
CHEMBL384467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0
CHEMBL3609326,0.0,0.0,12.6,0.0,1.0,0.0,0.0,0.0,0.0,1.5,2.6,0.0,1.9,0.2,0.0,0.0,0.6,0.0,0.0,0.0
CHEMBL3122113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL1614725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,1.6,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
CHEMBL2079588,0.0,0.1,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.3,0.0,0.0,0.0
CHEMBL3218578,4.9,17.6,19.1,3.2,4.4,0.0,0.0,2.1,0.0,0.0,9.7,3.9,5.0,7.2,5.9,2.7,6.4,0.2,6.9,0.4
CHEMBL1950289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL2364611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL2165191,0.0,0.0,2.7,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
